iter	Passed	Remaining
0	1	163
1	2	139
2	4	147
3	5	142
4	7	141
5	8	139
6	10	140
7	12	140
8	14	142
9	15	139
10	16	133
11	17	128
12	19	127
13	21	131
14	22	128
15	23	125
16	25	123
17	26	121
18	28	121
19	29	119
20	31	118
21	33	118
22	34	114
23	35	113
24	37	112
25	39	113
26	41	111
27	42	108
28	43	106
29	45	105
30	46	103
31	48	102
32	49	101
33	51	100
34	53	99
35	55	99
36	57	97
37	58	95
38	60	93
39	61	92
40	62	90
41	63	87
42	64	85
43	65	83
44	66	81
45	68	79
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	77	71
52	78	69
53	79	67
54	80	66
55	82	64
56	83	62
57	84	61
58	86	59
59	87	58
60	88	56
61	90	55
62	91	53
63	92	52
64	94	50
65	95	49
66	97	48
67	98	46
68	99	44
69	100	43
70	102	41
71	103	40
72	104	38
73	105	37
74	106	35
75	106	33
76	107	32
77	108	30
78	110	29
79	111	27
80	113	26
81	114	25
82	115	23
83	117	22
84	119	21
85	121	19
86	122	18
87	123	16
88	124	15
89	125	13
90	127	12
91	128	11
92	130	9
93	131	8
94	133	7
95	134	5
96	136	4
97	137	2
98	139	1
99	141	0
